iteration,human feature,trajectory feature,feature norm,weights,human likeness,likelihood
1,"[ 0.0000000e+00  0.0000000e+00 -1.3967135e-06 ...  0.0000000e+00
  0.0000000e+00  0.0000000e+00]","[9.75151236e-04 2.63385081e-05 5.89035435e-03 ... 0.00000000e+00
 0.00000000e+00 0.00000000e+00]",11.633275499356495,"[-0.03255126  0.10666264  0.02352411 ...  0.00781789  0.06154423
  0.00865875]",0.99398637,-2.1076653028985106
1,"[ 0.000000e+00  0.000000e+00 -1.006654e-06 ...  0.000000e+00  0.000000e+00
  0.000000e+00]","[9.75151236e-04 2.63385081e-05 5.89035435e-03 ... 0.00000000e+00
 0.00000000e+00 0.00000000e+00]",11.762405465456373,"[-0.0324959   0.10644905  0.02341815 ...  0.00780226  0.06142114
  0.00864143]",0.97984004,-2.1000428448802366
1,"[ 0.0000000e+00  0.0000000e+00 -4.4263933e-07 ...  0.0000000e+00
  0.0000000e+00  0.0000000e+00]","[4.33023843e-04 1.16958289e-05 2.61565979e-03 ... 0.00000000e+00
 0.00000000e+00 0.00000000e+00]",6.777091250891055,"[-0.03243524  0.10623604  0.02334515 ...  0.00778665  0.06129829
  0.00862414]",0.9811065,-2.209260182596385
1,"[ 0.0000000e+00  0.0000000e+00 -5.1373763e-07 ...  0.0000000e+00
  0.0000000e+00  0.0000000e+00]","[4.26851343e-04 1.15291117e-05 2.57837510e-03 ... 0.00000000e+00
 0.00000000e+00 0.00000000e+00]",6.7920993460059735,"[-0.03237464  0.10602345  0.02327267 ...  0.00777108  0.0611757
  0.0086069 ]",0.97772145,-2.209216004314079
1,"[ 0.00000000e+00  0.00000000e+00 -1.18122266e-07 ...  0.00000000e+00
  0.00000000e+00  0.00000000e+00]","[2.24632642e-04 6.06725238e-06 1.35688272e-03 ... 0.00000000e+00
 0.00000000e+00 0.00000000e+00]",5.816085567670646,"[-0.03231214  0.10581134  0.02321256 ...  0.00775554  0.06105335
  0.00858968]",0.9845698,-2.2527333658180706
2,"[ 0.0000000e+00  0.0000000e+00 -1.3967135e-06 ...  0.0000000e+00
  0.0000000e+00  0.0000000e+00]","[9.75151236e-04 2.63385081e-05 5.89035435e-03 ... 0.00000000e+00
 0.00000000e+00 0.00000000e+00]",11.633275499356495,"[-0.03225727  0.10559946  0.02310721 ...  0.00774003  0.06093124
  0.0085725 ]",0.99398637,-2.0847594376965652
2,"[ 0.000000e+00  0.000000e+00 -1.006654e-06 ...  0.000000e+00  0.000000e+00
  0.000000e+00]","[9.75151236e-04 2.63385081e-05 5.89035435e-03 ... 0.00000000e+00
 0.00000000e+00 0.00000000e+00]",11.762405465456373,"[-0.0322025   0.10538799  0.02300209 ...  0.00772455  0.06080938
  0.00855536]",0.97984004,-2.077182617424648
2,"[ 0.0000000e+00  0.0000000e+00 -4.4263933e-07 ...  0.0000000e+00
  0.0000000e+00  0.0000000e+00]","[4.33023843e-04 1.16958289e-05 2.61565979e-03 ... 0.00000000e+00
 0.00000000e+00 0.00000000e+00]",6.777091250891055,"[-0.03214243  0.1051771   0.02292992 ...  0.0077091   0.06068776
  0.00853825]",0.9811065,-2.1991291832647626
2,"[ 0.0000000e+00  0.0000000e+00 -5.1373763e-07 ...  0.0000000e+00
  0.0000000e+00  0.0000000e+00]","[4.26851343e-04 1.15291117e-05 2.57837510e-03 ... 0.00000000e+00
 0.00000000e+00 0.00000000e+00]",6.7920993460059735,"[-0.03208241  0.10496663  0.02285827 ...  0.00769368  0.06056638
  0.00852117]",0.97772145,-2.199249368034442
2,"[ 0.00000000e+00  0.00000000e+00 -1.18122266e-07 ...  0.00000000e+00
  0.00000000e+00  0.00000000e+00]","[2.24632642e-04 6.06725238e-06 1.35688272e-03 ... 0.00000000e+00
 0.00000000e+00 0.00000000e+00]",5.816085567670646,"[-0.03202049  0.10475664  0.02279899 ...  0.00767829  0.06044525
  0.00850413]",0.9845698,-2.2474989321370638
