iteration,human feature,trajectory feature,feature norm,weights,human likeness,mean human likeness,likelihood
1,"[ 0.00000000e+00  4.65661287e-10 -2.60348244e-05 ...  0.00000000e+00
  0.00000000e+00  0.00000000e+00]","[ 0.00000000e+00  4.65661287e-10 -2.60348244e-05 ...  0.00000000e+00
  0.00000000e+00  0.00000000e+00]",0.0,"[-0.09615     0.03846219 -0.07972948 ...  0.02303398  0.11677767
  0.03499459]",[0 0 0 0 0],0.0,0.0
2,"[ 0.00000000e+00  4.65661287e-10 -2.60348244e-05 ...  0.00000000e+00
  0.00000000e+00  0.00000000e+00]","[ 0.00000000e+00  4.65661287e-10 -2.60348244e-05 ...  0.00000000e+00
  0.00000000e+00  0.00000000e+00]",0.0,"[-0.0959577   0.03838526 -0.07957002 ...  0.02298791  0.11654411
  0.0349246 ]",[0 0 0 0 0],0.0,0.0
3,"[ 0.00000000e+00  4.65661287e-10 -2.60348244e-05 ...  0.00000000e+00
  0.00000000e+00  0.00000000e+00]","[ 0.00000000e+00  4.65661287e-10 -2.60348244e-05 ...  0.00000000e+00
  0.00000000e+00  0.00000000e+00]",0.0,"[-0.09576579  0.03830849 -0.07941088 ...  0.02294193  0.11631102
  0.03485475]",[0 0 0 0 0],0.0,0.0
4,"[ 0.00000000e+00  4.65661287e-10 -2.60348244e-05 ...  0.00000000e+00
  0.00000000e+00  0.00000000e+00]","[ 0.00000000e+00  4.65661287e-10 -2.60348244e-05 ...  0.00000000e+00
  0.00000000e+00  0.00000000e+00]",0.0,"[-0.09557426  0.03823188 -0.07925206 ...  0.02289605  0.1160784
  0.03478504]",[0 0 0 0 0],0.0,0.0
5,"[ 0.00000000e+00  4.65661287e-10 -2.60348244e-05 ...  0.00000000e+00
  0.00000000e+00  0.00000000e+00]","[ 0.00000000e+00  4.65661287e-10 -2.60348244e-05 ...  0.00000000e+00
  0.00000000e+00  0.00000000e+00]",0.0,"[-0.09538311  0.03815541 -0.07909355 ...  0.02285026  0.11584625
  0.03471547]",[0 0 0 0 0],0.0,0.0
6,"[ 0.00000000e+00  4.65661287e-10 -2.60348244e-05 ...  0.00000000e+00
  0.00000000e+00  0.00000000e+00]","[ 0.00000000e+00  4.65661287e-10 -2.60348244e-05 ...  0.00000000e+00
  0.00000000e+00  0.00000000e+00]",0.0,"[-0.09519234  0.0380791  -0.07893537 ...  0.02280456  0.11561455
  0.03464604]",[0 0 0 0 0],0.0,0.0
7,"[ 0.00000000e+00  4.65661287e-10 -2.60348244e-05 ...  0.00000000e+00
  0.00000000e+00  0.00000000e+00]","[ 0.00000000e+00  4.65661287e-10 -2.60348244e-05 ...  0.00000000e+00
  0.00000000e+00  0.00000000e+00]",0.0,"[-0.09500196  0.03800294 -0.0787775  ...  0.02275895  0.11538332
  0.03457675]",[0 0 0 0 0],0.0,0.0
8,"[ 0.00000000e+00  4.65661287e-10 -2.60348244e-05 ...  0.00000000e+00
  0.00000000e+00  0.00000000e+00]","[ 0.00000000e+00  4.65661287e-10 -2.60348244e-05 ...  0.00000000e+00
  0.00000000e+00  0.00000000e+00]",0.0,"[-0.09481195  0.03792694 -0.07861994 ...  0.02271343  0.11515256
  0.0345076 ]",[0 0 0 0 0],0.0,0.0
9,"[ 0.00000000e+00  4.65661287e-10 -2.60348244e-05 ...  0.00000000e+00
  0.00000000e+00  0.00000000e+00]","[ 0.00000000e+00  4.65661287e-10 -2.60348244e-05 ...  0.00000000e+00
  0.00000000e+00  0.00000000e+00]",0.0,"[-0.09462233  0.03785108 -0.0784627  ...  0.022668    0.11492225
  0.03443858]",[0 0 0 0 0],0.0,0.0
10,"[ 0.00000000e+00  4.65661287e-10 -2.60348244e-05 ...  0.00000000e+00
  0.00000000e+00  0.00000000e+00]","[ 0.00000000e+00  4.65661287e-10 -2.60348244e-05 ...  0.00000000e+00
  0.00000000e+00  0.00000000e+00]",0.0,"[-0.09443308  0.03777538 -0.07830578 ...  0.02262267  0.11469241
  0.0343697 ]",[0 0 0 0 0],0.0,0.0
