iteration,human feature,trajectory feature,feature norm,weights,human likeness,likelihood
1,"[-2.7308467e-01  2.9485924e-03  2.5085022e-04 ...  0.0000000e+00
  0.0000000e+00  0.0000000e+00]","[ 0.04093564 -0.01168832  0.1        ...  0.          0.
  0.        ]",6.602679332529515,"[ 0.08791132  0.06766557  0.06460856 ... -0.05814673  0.08730511
  0.07964577]",0.7712467566082652,-2.427706353020657
1,"[-2.5364846e-01  2.7387326e-03  2.2292865e-04 ...  0.0000000e+00
  0.0000000e+00  0.0000000e+00]","[ 0.04093564 -0.01168832  0.1        ...  0.          0.
  0.        ]",7.144630661894711,"[ 0.08478965  0.06767451  0.06348157 ... -0.05803043  0.0871305
  0.07948648]",0.7562418620875254,-2.350577257587565
1,"[-1.1653226e-01  1.2582402e-03  1.0500709e-04 ...  0.0000000e+00
  0.0000000e+00  0.0000000e+00]","[ 0.02370678 -0.00676898  0.05791233 ...  0.          0.
  0.        ]",5.414713026976801,"[ 0.08321768  0.06761943  0.06277654 ... -0.05791437  0.08695624
  0.07932751]",0.7465486967314356,-2.321608870001317
1,"[-2.5450999e-01  2.7480349e-03  2.3749076e-04 ...  0.0000000e+00
  0.0000000e+00  0.0000000e+00]","[ 0.04093564 -0.01168832  0.1        ...  0.          0.
  0.        ]",6.4331297537122065,"[ 0.08009679  0.06762856  0.06165336 ... -0.05779854  0.08678233
  0.07916885]",0.692115625942305,-2.1298520289271163
1,"[-2.3575662e-01  2.5455481e-03  2.1421902e-04 ...  0.0000000e+00
  0.0000000e+00  0.0000000e+00]","[ 0.04093564 -0.01168832  0.1        ...  0.          0.
  0.        ]",7.658310316344089,"[ 0.07716968  0.06763564  0.06053219 ... -0.05768295  0.08660876
  0.07901052]",0.6548020903044954,-2.0943878029239915
2,"[-2.7308467e-01  2.9485924e-03  2.5085022e-04 ...  0.0000000e+00
  0.0000000e+00  0.0000000e+00]","[ 0.04093564 -0.01168832  0.1        ...  0.          0.
  0.        ]",6.602679332529515,"[ 0.07387513  0.06764674  0.05941364 ... -0.05756758  0.08643555
  0.0788525 ]",0.7712467566082652,-2.164487742593319
2,"[-2.5364846e-01  2.7387326e-03  2.2292865e-04 ...  0.0000000e+00
  0.0000000e+00  0.0000000e+00]","[ 0.04093564 -0.01168832  0.1        ...  0.          0.
  0.        ]",7.144630661894711,"[ 0.07078154  0.06765571  0.05829704 ... -0.05745245  0.08626268
  0.07869479]",0.7562418620875254,-2.059775771071589
2,"[-1.1653226e-01  1.2582402e-03  1.0500709e-04 ...  0.0000000e+00
  0.0000000e+00  0.0000000e+00]","[ 0.02370678 -0.00676898  0.05791233 ...  0.          0.
  0.        ]",5.414713026976801,"[ 0.06923759  0.06760068  0.05760237 ... -0.05733754  0.08609015
  0.0785374 ]",0.7465486967314356,-2.306797112251347
2,"[-2.5450999e-01  2.7480349e-03  2.3749076e-04 ...  0.0000000e+00
  0.0000000e+00  0.0000000e+00]","[ 0.04093564 -0.01168832  0.1        ...  0.          0.
  0.        ]",6.433129753712206,"[ 0.06614466  0.06760984  0.05648954 ... -0.05722287  0.08591797
  0.07838033]",0.692115625942305,-1.8200705589016368
2,"[-2.3575662e-01  2.5455481e-03  2.1421902e-04 ...  0.0000000e+00
  0.0000000e+00  0.0000000e+00]","[ 0.04093564 -0.01168832  0.1        ...  0.          0.
  0.        ]",7.658310316344089,"[ 0.06324545  0.06761696  0.05537871 ... -0.05710842  0.08574613
  0.07822357]",0.6548020903044954,-1.735080123911756
3,"[-2.7308467e-01  2.9485924e-03  2.5085022e-04 ...  0.0000000e+00
  0.0000000e+00  0.0000000e+00]","[ 0.04093564 -0.01168832  0.1        ...  0.          0.
  0.        ]",6.602679332529515,"[ 0.05997875  0.06762809  0.05427046 ... -0.0569942   0.08557464
  0.07806712]",0.7712467566082652,-1.9038908105622783
3,"[-2.5364846e-01  2.7387326e-03  2.2292865e-04 ...  0.0000000e+00
  0.0000000e+00  0.0000000e+00]","[ 0.04093564 -0.01168832  0.1        ...  0.          0.
  0.        ]",7.144630661894711,"[ 0.05691295  0.06763711  0.05316415 ... -0.05688022  0.08540349
  0.07791098]",0.7562418620875254,-1.771870690602177
3,"[-1.1653226e-01  1.2582402e-03  1.0500709e-04 ...  0.0000000e+00
  0.0000000e+00  0.0000000e+00]","[ 0.02370678 -0.00676898  0.05791233 ...  0.          0.
  0.        ]",5.414713026976801,"[ 0.05539674  0.0675821   0.05247974 ... -0.05676646  0.08523268
  0.07775516]",0.7465486967314356,-2.2921328807923222
3,"[-2.5450999e-01  2.7480349e-03  2.3749076e-04 ...  0.0000000e+00
  0.0000000e+00  0.0000000e+00]","[ 0.04093564 -0.01168832  0.1        ...  0.          0.
  0.        ]",6.4331297537122065,"[ 0.05233149  0.0675913   0.05137716 ... -0.05665292  0.08506222
  0.07759965]",0.692115625942305,-1.5133745370753564
3,"[-2.3575662e-01  2.5455481e-03  2.1421902e-04 ...  0.0000000e+00
  0.0000000e+00  0.0000000e+00]","[ 0.04093564 -0.01168832  0.1        ...  0.          0.
  0.        ]",7.658310316344089,"[ 0.0494599   0.06759846  0.05027655 ... -0.05653962  0.0848921
  0.07744445]",0.6548020903044954,-1.3793511780983638
4,"[-2.7308467e-01  2.9485924e-03  2.5085022e-04 ...  0.0000000e+00
  0.0000000e+00  0.0000000e+00]","[ 0.04093564 -0.01168832  0.1        ...  0.          0.
  0.        ]",6.602679332529515,"[ 0.04622078  0.06760963  0.0491785  ... -0.05642654  0.08472231
  0.07728956]",0.7712467566082652,-1.6458894448011794
4,"[-2.5364846e-01  2.7387326e-03  2.2292865e-04 ...  0.0000000e+00
  0.0000000e+00  0.0000000e+00]","[ 0.04093564 -0.01168832  0.1        ...  0.          0.
  0.        ]",7.144630661894711,"[ 0.0431825   0.06761868  0.04808238 ... -0.05631368  0.08455287
  0.07713498]",0.7562418620875254,-1.4868331677436233
4,"[-1.1653226e-01  1.2582402e-03  1.0500709e-04 ...  0.0000000e+00
  0.0000000e+00  0.0000000e+00]","[ 0.02370678 -0.00676898  0.05791233 ...  0.          0.
  0.        ]",5.414713026976801,"[ 0.04169374  0.06756372  0.04740814 ... -0.05620106  0.08438376
  0.07698071]",0.7465486967314356,-2.2776147062505956
4,"[-2.5450999e-01  2.7480349e-03  2.3749076e-04 ...  0.0000000e+00
  0.0000000e+00  0.0000000e+00]","[ 0.04093564 -0.01168832  0.1        ...  0.          0.
  0.        ]",6.433129753712206,"[ 0.0386559   0.06757295  0.0463157  ... -0.05608865  0.08421499
  0.07682675]",0.692115625942305,-1.2097332321376215
4,"[-2.3575662e-01  2.5455481e-03  2.1421902e-04 ...  0.0000000e+00
  0.0000000e+00  0.0000000e+00]","[ 0.04093564 -0.01168832  0.1        ...  0.          0.
  0.        ]",7.658310316344089,"[ 0.03581166  0.06758015  0.04522521 ... -0.05597648  0.08404656
  0.0766731 ]",0.6548020903044954,-1.0271653210151417
5,"[-2.7308467e-01  2.9485924e-03  2.5085022e-04 ...  0.0000000e+00
  0.0000000e+00  0.0000000e+00]","[ 0.04093564 -0.01168832  0.1        ...  0.          0.
  0.        ]",6.602679332529515,"[ 0.03259984  0.06759136  0.04413727 ... -0.05586452  0.08387847
  0.07651975]",0.7712467566082652,-1.3904577932625433
